"","Year","Apples","Bananas","Broccoli","Cabbages","Carrots","Celery","Cherries","Eggs--grade A","Grapefruit","Grapes","Lemons","Lettuce--iceberg","Lettuce--romaine","Oranges","Peaches","Pears","Peppers","Strawberries","Tomatoes"
"1",2008,1.32,0.61,1.67,0.64,0.79,NA,3.72,1.99,0.97,2.21,2.01,0.91,1.71,1.12,1.64,1.33,2.36,2.29,1.74
"2",2009,1.18,0.61,1.6,0.6,NA,NA,2.99,1.66,0.9,2.11,1.52,0.91,1.76,1.05,1.63,1.3,NA,2.1,1.62
"3",2010,1.22,0.58,1.58,0.63,NA,0.82,3.24,1.66,0.93,2.18,1.63,0.87,1.79,1.06,1.75,1.29,2.35,2.19,1.69
"4",2011,1.35,0.61,1.7,0.71,0.76,0.93,3.4,1.77,0.98,2.39,1.58,0.99,1.78,1.1,1.64,1.41,2.63,2.08,1.67
"5",2012,1.38,0.6,1.6,0.64,NA,0.87,3.29,1.84,1.08,2.49,1.56,0.86,1.52,1.05,1.7,1.25,2.42,1.99,1.46
"6",2013,1.39,0.6,1.85,NA,0.75,NA,4.05,1.91,1.05,2.49,1.58,1.01,1.71,1.15,1.67,NA,2.35,2.02,1.53
"7",2014,1.35,0.6,1.76,NA,0.76,NA,NA,2.02,1.11,2.64,1.97,1.05,1.69,1.32,1.94,NA,2.53,2.29,1.71
"8",2015,1.36,0.58,1.79,NA,NA,NA,3.6,2.47,1.09,2.59,1.98,1.16,1.99,1.3,1.81,NA,2.44,2.22,1.84
"9",2016,1.44,0.57,1.63,NA,NA,NA,3.47,1.68,1.16,2.76,2.04,1.06,1.92,1.25,1.78,1.67,2.38,2.44,1.93
"10",2017,1.29,0.56,1.81,NA,NA,NA,3.77,1.47,1.28,2.64,2.01,1.03,2.11,1.34,2.02,1.6,2.22,2.34,1.93
"11",2018,NA,0.57,1.85,NA,NA,NA,4.2,1.74,1.35,2.58,2.25,0.94,2.1,1.41,2.08,1.58,2.37,2.34,1.92
"12",2019,NA,0.57,2,NA,NA,NA,3.94,1.4,1.35,2.45,2.13,1.18,2.2,1.37,2.07,1.6,2.4,2.46,1.93
"13",2020,NA,0.58,1.99,NA,NA,NA,NA,1.51,1.21,2.28,1.93,1.29,2.09,1.25,2.09,NA,2.45,2.49,1.96
"14",2021,NA,0.6,NA,NA,NA,NA,NA,1.67,NA,2.46,1.98,NA,3.27,1.36,NA,NA,NA,2.67,1.85
"15",2022,NA,0.64,NA,NA,NA,NA,NA,2.86,NA,NA,2.13,NA,3.14,1.57,NA,NA,NA,2.88,1.91
"16",2023,NA,0.63,NA,NA,NA,NA,NA,2.98,1.61,NA,2.17,1.65,2.77,1.56,NA,NA,NA,2.78,1.91
