Series ID,Year,Period,Label,Value,3---onth % Change
Eggs--grade A,2008,01,2008 Jan,2.175,22.8
Eggs--grade A,2008,02,2008 Feb,2.168,16.4
Eggs--grade A,2008,03,2008 Mar,2.203,5.0
Eggs--grade A,2008,04,2008 Apr,2.069,-4.9
Eggs--grade A,2008,05,2008 May,1.930,-11.0
Eggs--grade A,2008,06,2008 Jun,1.920,-12.8
Eggs--grade A,2008,07,2008 Jul,2.011,-2.8
Eggs--grade A,2008,08,2008 Aug,1.854,-3.9
Eggs--grade A,2008,09,2008 Sep,1.978,3.0
Eggs--grade A,2008,10,2008 Oct,1.858,-7.6
Eggs--grade A,2008,11,2008 Nov,1.838,-0.9
Eggs--grade A,2008,12,2008 Dec,1.834,-7.3
Eggs--grade A,2009,01,2009 Jan,1.850,-0.4
Eggs--grade A,2009,02,2009 Feb,1.795,-2.3
Eggs--grade A,2009,03,2009 Mar,1.693,-7.7
Eggs--grade A,2009,04,2009 Apr,1.774,-4.1
Eggs--grade A,2009,05,2009 May,1.501,-16.4
Eggs--grade A,2009,06,2009 Jun,1.529,-9.7
Eggs--grade A,2009,07,2009 Jul,1.495,-15.7
Eggs--grade A,2009,08,2009 Aug,1.632,8.7
Eggs--grade A,2009,09,2009 Sep,1.627,6.4
Eggs--grade A,2009,10,2009 Oct,1.595,6.7
Eggs--grade A,2009,11,2009 Nov,1.705,4.5
Eggs--grade A,2009,12,2009 Dec,1.772,8.9
Eggs--grade A,2010,01,2010 Jan,1.789,12.2
Eggs--grade A,2010,02,2010 Feb,1.872,9.8
Eggs--grade A,2010,03,2010 Mar,1.822,2.8
Eggs--grade A,2010,04,2010 Apr,1.779,-0.6
Eggs--grade A,2010,05,2010 May,1.523,-18.6
Eggs--grade A,2010,06,2010 Jun,1.494,-18.0
Eggs--grade A,2010,07,2010 Jul,1.441,-19.0
Eggs--grade A,2010,08,2010 Aug,1.519,-0.3
Eggs--grade A,2010,09,2010 Sep,1.753,17.3
Eggs--grade A,2010,10,2010 Oct,1.456,1.0
Eggs--grade A,2010,11,2010 Nov,1.675,10.3
Eggs--grade A,2010,12,2010 Dec,1.793,2.3
Eggs--grade A,2011,01,2011 Jan,1.806,24.0
Eggs--grade A,2011,02,2011 Feb,1.708,2.0
Eggs--grade A,2011,03,2011 Mar,1.732,-3.4
Eggs--grade A,2011,04,2011 Apr,1.727,-4.4
Eggs--grade A,2011,05,2011 May,1.692,-0.9
Eggs--grade A,2011,06,2011 Jun,1.683,-2.8
Eggs--grade A,2011,07,2011 Jul,1.647,-4.6
Eggs--grade A,2011,08,2011 Aug,1.711,1.1
Eggs--grade A,2011,09,2011 Sep,1.947,15.7
Eggs--grade A,2011,10,2011 Oct,1.871,13.6
Eggs--grade A,2011,11,2011 Nov,1.836,7.3
Eggs--grade A,2011,12,2011 Dec,1.874,-3.7
Eggs--grade A,2012,01,2012 Jan,1.939,3.6
Eggs--grade A,2012,02,2012 Feb,1.798,-2.1
Eggs--grade A,2012,03,2012 Mar,1.774,-5.3
Eggs--grade A,2012,04,2012 Apr,1.829,-5.7
Eggs--grade A,2012,05,2012 May,1.691,-6.0
Eggs--grade A,2012,06,2012 Jun,1.670,-5.9
Eggs--grade A,2012,07,2012 Jul,1.648,-9.9
Eggs--grade A,2012,08,2012 Aug,1.884,11.4
Eggs--grade A,2012,09,2012 Sep,1.889,13.1
Eggs--grade A,2012,10,2012 Oct,1.960,18.9
Eggs--grade A,2012,11,2012 Nov,1.963,4.2
Eggs--grade A,2012,12,2012 Dec,2.007,6.2
Eggs--grade A,2013,01,2013 Jan,1.933,-1.4
Eggs--grade A,2013,02,2013 Feb,1.965,0.1
Eggs--grade A,2013,03,2013 Mar,1.925,-4.1
Eggs--grade A,2013,04,2013 Apr,1.918,-0.8
Eggs--grade A,2013,05,2013 May,1.870,-4.8
Eggs--grade A,2013,06,2013 Jun,1.859,-3.4
Eggs--grade A,2013,07,2013 Jul,1.833,-4.4
Eggs--grade A,2013,08,2013 Aug,1.838,-1.7
Eggs--grade A,2013,09,2013 Sep,1.897,2.0
Eggs--grade A,2013,10,2013 Oct,1.925,5.0
Eggs--grade A,2013,11,2013 Nov,1.925,4.7
Eggs--grade A,2013,12,2013 Dec,2.026,6.8
Eggs--grade A,2014,01,2014 Jan,2.008,4.3
Eggs--grade A,2014,02,2014 Feb,1.998,3.8
Eggs--grade A,2014,03,2014 Mar,2.061,1.7
Eggs--grade A,2014,04,2014 Apr,2.119,5.5
Eggs--grade A,2014,05,2014 May,1.996,-0.1
Eggs--grade A,2014,06,2014 Jun,1.948,-5.5
Eggs--grade A,2014,07,2014 Jul,1.950,-8.0
Eggs--grade A,2014,08,2014 Aug,1.979,-0.9
Eggs--grade A,2014,09,2014 Sep,1.970,1.1
Eggs--grade A,2014,10,2014 Oct,1.951,0.1
Eggs--grade A,2014,11,2014 Nov,2.032,2.7
Eggs--grade A,2014,12,2014 Dec,2.210,12.2
Eggs--grade A,2015,01,2015 Jan,2.113,8.3
Eggs--grade A,2015,02,2015 Feb,2.088,2.8
Eggs--grade A,2015,03,2015 Mar,2.133,-3.5
Eggs--grade A,2015,04,2015 Apr,2.065,-2.3
Eggs--grade A,2015,05,2015 May,1.962,-6.0
