,Year,Bananas,Eggs--grade A,Lemons,Lettuce--romaine,Oranges,Strawberries,Tomatoes
1,2008,0.61,1.99,2.01,1.71,1.12,2.29,1.74
2,2009,0.61,1.66,1.52,1.76,1.05,2.1,1.62
3,2010,0.58,1.66,1.63,1.79,1.06,2.19,1.69
4,2011,0.61,1.77,1.58,1.78,1.1,2.08,1.67
5,2012,0.6,1.84,1.56,1.52,1.05,1.99,1.46
6,2013,0.6,1.91,1.58,1.71,1.15,2.02,1.53
7,2014,0.6,2.02,1.97,1.69,1.32,2.29,1.71
8,2015,0.58,2.47,1.98,1.99,1.3,2.22,1.84
9,2016,0.57,1.68,2.04,1.92,1.25,2.44,1.93
10,2017,0.56,1.47,2.01,2.11,1.34,2.34,1.93
11,2018,0.57,1.74,2.25,2.1,1.41,2.34,1.92
12,2019,0.57,1.4,2.13,2.2,1.37,2.46,1.93
13,2020,0.58,1.51,1.93,2.09,1.25,2.49,1.96
14,2021,0.6,1.67,1.98,3.27,1.36,2.67,1.85
15,2022,0.64,2.86,2.13,3.14,1.57,2.88,1.91
16,2023,0.63,2.98,2.17,2.77,1.56,2.78,1.91
